
ID_Venta,ID_Tienda,ID_Producto,Cantidad,Precio_Unitario,Total_Venta,Fecha
1,101,201,20,$10,$200,2024-02-01
2,102,202,15,$15,$225,2024-02-02
3,103,203,25,$8,$200,2024-02-03
4,101,204,10,$12,$120,2024-02-04
5,102,201,18,$11,$198,2024-02-05
6,103,202,12,$18,$216,2024-02-06
7,101,203,30,$7,$210,2024-02-07
8,102,204,22,$14,$308,2024-02-08
9,103,201,25,$9,$225,2024-02-09
10,101,202,15,$16,$240,2024-02-10
11,102,204,28,$19,$532,2024-03-16
12,103,201,12,$22,$264,2024-03-17
13,101,202,20,$14,$280,2024-03-18
14,102,204,30,$20,$600,2024-03-20
15,103,201,10,$25,$250,2024-03-21
16,101,203,18,$10,$180,2023-07-15
17,102,201,25,$15,$375,2023-08-02
18,103,204,30,$12,$360,2023-09-10
19,101,202,15,$18,$270,2023-10-22
20,102,203,22,$11,$242,2023-11-05
21,103,204,28,$14,$392,2023-12-12
22,101,201,12,$20,$240,2023-01-08
23,102,202,20,$8,$160,2023-02-14
24,103,203,25,$22,$550,2023-03-21
25,101,204,10,$25,$250,2023-04-30
26,102,201,15,$15,$225,2023-05-15
27,103,204,30,$12,$360,2023-06-22
28,101,202,18,$18,$324,2023-07-30
29,102,203,25,$11,$275,2023-08-17
30,103,204,28,$14,$392,2023-09-25
31,101,201,20,$20,$400,2023-10-11
32,102,202,22,$8,$176,2023-11-28
33,103,203,25,$22,$550,2023-12-14
34,101,204,10,$25,$250,2023-01-21
35,102,201,12,$18,$216,2023-02-06
36,103,203,18,$10,$180,2023-03-15
37,101,201,25,$15,$375,2023-04-02
38,102,204,30,$12,$360,2023-05-10
39,103,202,15,$18,$270,2023-06-22
40,101,203,22,$11,$242,2023-07-05
41,102,204,28,$14,$392,2023-08-12
42,103,201,12,$20,$240,2023-09-08
43,101,202,20,$8,$160,2023-10-14
44,102,203,25,$22,$550,2023-11-21
45,103,204,10,$25,$250,2023-12-30
46,101,201,15,$20,$300,2023-01-15
47,102,202,30,$8,$240,2023-02-21
48,103,203,22,$22,$484,2023-03-30
49,101,204,18,$25,$450,2023-04-12
50,102,201,25,$18,,
51,103,204,28,$14,$392,2023-06-15
52,101,202,20,$22,$440,2023-07-22
53,102,203,15,$25,$375,2023-08-05
54,103,204,30,$12,$360,2023-09-13
55,101,201,12,$15,$180,2023-10-25
