ID_Venta,ID_Tienda,ID_Producto,Cantidad,Precio_Unitario,Total_Venta,Fecha
56,103,202,12,$18,$216,2024-02-06
57,101,203,30,$7,$210,2024-02-07
58,102,204,22,$14,$308,2024-02-08
59,103,201,25,$9,$225,2024-02-09
60,101,202,15,$16,$240,2024-02-10
61,102,204,28,$19,$532,2024-03-16
62,103,201,12,$22,$264,2024-03-17
63,101,202,20,$14,$280,2024-03-18
64,102,204,30,$20,$600,2024-03-20
65,103,201,10,$25,$250,2024-03-21
66,101,203,18,$10,$180,2023-07-15
67,102,201,25,$15,$375,2023-08-02
68,103,204,30,$12,$360,2023-09-10
69,101,202,15,$18,$270,2023-10-22
70,102,203,22,$11,$242,2023-11-05
71,103,204,28,$14,$392,2023-12-12
72,101,201,12,$20,$240,2023-01-08
73,102,202,20,$8,$160,2023-02-14
74,103,203,25,$22,$550,2023-03-21
75,101,204,10,$25,$250,2023-04-30
76,102,201,15,$15,$225,2023-05-15
77,103,204,30,$12,$360,2023-06-22
78,101,202,18,$18,$324,2023-07-30
79,102,203,25,$11,$275,2023-08-17
80,103,204,28,$14,$392,2023-09-25
81,101,201,20,$20,$400,2023-10-11
82,102,202,22,$8,$176,2023-11-28
83,103,203,25,$22,$550,2023-12-14
84,101,204,10,$25,$250,2023-01-21
85,102,201,12,$18,$216,2023-02-06
86,103,203,18,$10,$180,2023-03-15
87,101,201,25,$15,$375,2023-04-02
88,102,204,30,$12,$360,2023-05-10
89,103,202,15,$18,$270,2023-06-22
90,101,203,22,$11,$242,2023-07-05
91,102,204,28,$14,$392,2023-08-12
92,103,201,12,$20,$240,2023-09-08
93,101,202,20,$8,$160,2023-10-14
94,102,203,25,$22,$550,2023-11-21
95,103,204,10,$25,$250,2023-12-30
96,101,201,15,$20,$300,2023-01-15
97,102,202,30,$8,$240,2023-02-21
98,103,203,22,$22,$484,2023-03-30
99,101,204,18,$25,$450,2023-04-12
100,102,201,25,$18,$450,2023-05-28
